model,term,coefficient,std_error,z_statistic_normal_approx,p_value_normal_approx,significance,standardized_coefficient,interpretation_scale
Full OLS: meteorology + gaseous pollutants + lagged PM2.5,Intercept,-27.820448504839725,3.2978594186386596,-8.435910987474376,3.286328441078515e-17,***,,PM2.5 units
Full OLS: meteorology + gaseous pollutants + lagged PM2.5,Temperature,-0.1468583146873894,0.07175658389608708,-2.046617978638162,0.040695608203049606,*,-0.06788675913816976,PM2.5 units per 1-unit increase; standardized column gives 1-SD effect
Full OLS: meteorology + gaseous pollutants + lagged PM2.5,Humidity,-0.012575560788333578,0.03457378960234355,-0.3637310498205021,0.7160588548376479,,-0.008486227713556853,PM2.5 units per 1-unit increase; standardized column gives 1-SD effect
Full OLS: meteorology + gaseous pollutants + lagged PM2.5,WindSpeed,1.047262276793266,0.45276470763161486,2.3130386691830123,0.020720513183785347,*,0.04163314727358853,PM2.5 units per 1-unit increase; standardized column gives 1-SD effect
Full OLS: meteorology + gaseous pollutants + lagged PM2.5,Precipitation,-0.09199310605639312,0.04955341730768754,-1.8564432294384194,0.06339040780173684,.,-0.027643450163134818,PM2.5 units per 1-unit increase; standardized column gives 1-SD effect
Full OLS: meteorology + gaseous pollutants + lagged PM2.5,CO,71.95664842511836,3.3067608616680935,21.76046331600159,5.498998674738305e-105,***,0.5652372386450419,PM2.5 units per 1-unit increase; standardized column gives 1-SD effect
Full OLS: meteorology + gaseous pollutants + lagged PM2.5,NO2,0.6354142774986552,0.049491023339477504,12.838980377110213,9.917199667456854e-38,***,0.30707122843016527,PM2.5 units per 1-unit increase; standardized column gives 1-SD effect
Full OLS: meteorology + gaseous pollutants + lagged PM2.5,SO2,-2.61159364376896,0.4965578946346825,-5.259394064594036,1.4453086343109193e-07,***,-0.08123234543166673,PM2.5 units per 1-unit increase; standardized column gives 1-SD effect
Full OLS: meteorology + gaseous pollutants + lagged PM2.5,O3,0.06613966533177522,0.0200342550183154,3.301328912470669,0.0009622800235973111,***,0.08435070030637373,PM2.5 units per 1-unit increase; standardized column gives 1-SD effect
Full OLS: meteorology + gaseous pollutants + lagged PM2.5,Lag_PM2.5,0.271385758986107,0.015403707847170408,17.61820995819259,1.7856631931662804e-69,***,0.2713545473467996,PM2.5 units per 1-unit increase; standardized column gives 1-SD effect
Full OLS: meteorology + gaseous pollutants + lagged PM2.5,season_Spring,9.985777651802799,1.4052673564832485,7.105962865879632,1.1948654054365243e-12,***,0.16855155023572055,PM2.5 units per 1-unit increase; standardized column gives 1-SD effect
Full OLS: meteorology + gaseous pollutants + lagged PM2.5,season_Summer,3.198083269827889,2.017259012280562,1.585360754548012,0.1128843925662119,,0.053980962896274395,PM2.5 units per 1-unit increase; standardized column gives 1-SD effect
Full OLS: meteorology + gaseous pollutants + lagged PM2.5,season_Autumn,2.593171999932807,1.3786443618662523,1.880957897236431,0.05997764635394398,.,0.04361161791630635,PM2.5 units per 1-unit increase; standardized column gives 1-SD effect
